"date","year","month","day","11317001"
1979-01-01,1979,1,1,NA
1979-01-02,1979,1,2,NA
1979-01-03,1979,1,3,NA
1979-01-04,1979,1,4,NA
1979-01-05,1979,1,5,NA
1979-01-06,1979,1,6,NA
1979-01-07,1979,1,7,NA
1979-01-08,1979,1,8,NA
1979-01-09,1979,1,9,NA
1979-01-10,1979,1,10,NA
1979-01-11,1979,1,11,NA
1979-01-12,1979,1,12,NA
1979-01-13,1979,1,13,NA
1979-01-14,1979,1,14,NA
1979-01-15,1979,1,15,NA
1979-01-16,1979,1,16,NA
1979-01-17,1979,1,17,NA
1979-01-18,1979,1,18,NA
1979-01-19,1979,1,19,NA
1979-01-20,1979,1,20,NA
1979-01-21,1979,1,21,NA
1979-01-22,1979,1,22,NA
1979-01-23,1979,1,23,NA
1979-01-24,1979,1,24,NA
1979-01-25,1979,1,25,NA
1979-01-26,1979,1,26,NA
1979-01-27,1979,1,27,NA
1979-01-28,1979,1,28,NA
1979-01-29,1979,1,29,NA
1979-01-30,1979,1,30,NA
1979-01-31,1979,1,31,NA
1979-02-01,1979,2,1,NA
1979-02-02,1979,2,2,NA
1979-02-03,1979,2,3,NA
1979-02-04,1979,2,4,NA
1979-02-05,1979,2,5,NA
1979-02-06,1979,2,6,NA
1979-02-07,1979,2,7,NA
1979-02-08,1979,2,8,NA
1979-02-09,1979,2,9,NA
1979-02-10,1979,2,10,NA
1979-02-11,1979,2,11,NA
1979-02-12,1979,2,12,NA
1979-02-13,1979,2,13,NA
1979-02-14,1979,2,14,NA
1979-02-15,1979,2,15,NA
1979-02-16,1979,2,16,NA
1979-02-17,1979,2,17,NA
1979-02-18,1979,2,18,NA
1979-02-19,1979,2,19,NA
1979-02-20,1979,2,20,NA
1979-02-21,1979,2,21,NA
1979-02-22,1979,2,22,NA
1979-02-23,1979,2,23,NA
1979-02-24,1979,2,24,NA
1979-02-25,1979,2,25,NA
1979-02-26,1979,2,26,NA
1979-02-27,1979,2,27,NA
1979-02-28,1979,2,28,NA
1979-03-01,1979,3,1,NA
1979-03-02,1979,3,2,NA
1979-03-03,1979,3,3,NA
1979-03-04,1979,3,4,NA
1979-03-05,1979,3,5,NA
1979-03-06,1979,3,6,NA
1979-03-07,1979,3,7,NA
1979-03-08,1979,3,8,NA
1979-03-09,1979,3,9,NA
1979-03-10,1979,3,10,NA
1979-03-11,1979,3,11,NA
1979-03-12,1979,3,12,NA
1979-03-13,1979,3,13,NA
1979-03-14,1979,3,14,NA
1979-03-15,1979,3,15,NA
1979-03-16,1979,3,16,NA
1979-03-17,1979,3,17,NA
1979-03-18,1979,3,18,NA
1979-03-19,1979,3,19,NA
1979-03-20,1979,3,20,NA
1979-03-21,1979,3,21,NA
1979-03-22,1979,3,22,NA
1979-03-23,1979,3,23,NA
1979-03-24,1979,3,24,NA
1979-03-25,1979,3,25,NA
1979-03-26,1979,3,26,NA
1979-03-27,1979,3,27,NA
1979-03-28,1979,3,28,NA
1979-03-29,1979,3,29,NA
1979-03-30,1979,3,30,NA
1979-03-31,1979,3,31,NA
1979-04-01,1979,4,1,NA
1979-04-02,1979,4,2,NA
1979-04-03,1979,4,3,NA
1979-04-04,1979,4,4,NA
1979-04-05,1979,4,5,NA
1979-04-06,1979,4,6,NA
1979-04-07,1979,4,7,NA
1979-04-08,1979,4,8,NA
1979-04-09,1979,4,9,NA
1979-04-10,1979,4,10,NA
1979-04-11,1979,4,11,NA
1979-04-12,1979,4,12,NA
1979-04-13,1979,4,13,NA
1979-04-14,1979,4,14,NA
1979-04-15,1979,4,15,NA
1979-04-16,1979,4,16,NA
1979-04-17,1979,4,17,NA
1979-04-18,1979,4,18,NA
1979-04-19,1979,4,19,NA
1979-04-20,1979,4,20,NA
1979-04-21,1979,4,21,NA
1979-04-22,1979,4,22,NA
1979-04-23,1979,4,23,NA
1979-04-24,1979,4,24,NA
1979-04-25,1979,4,25,NA
1979-04-26,1979,4,26,NA
1979-04-27,1979,4,27,NA
1979-04-28,1979,4,28,NA
1979-04-29,1979,4,29,NA
